episode ,mean     ,max
   1000 , 9035.15 , 30452
   2000 ,14783.6  , 41068
   3000 ,18003.8  , 46660
   4000 ,20628.1  , 59284
   5000 ,22759.3  , 62476
   6000 ,23825.4  , 64428
   7000 ,24616.7  , 68572
   8000 ,25695.9  , 79848
   9000 ,27888.8  , 72776
  10000 ,29123.5  , 73764
  11000 ,30310.5  , 76288
  12000 ,31857.9  , 76164
  13000 ,33823.4  , 87276
  14000 ,33697.6  , 83312
  15000 ,34197.8  , 89540
  16000 ,35117.6  , 86596
  17000 ,35524.1  ,111204
  18000 ,37144.7  , 81676
  19000 ,36601.4  ,100948
  20000 ,36042    , 92004
  21000 ,37399.5  , 87676
  22000 ,37223.4  , 85928
  23000 ,38890.1  ,126004
  24000 ,38200.2  ,105300
  25000 ,39381    ,118752
  26000 ,38406.7  ,107896
  27000 ,39432.8  , 94968
  28000 ,40606.9  , 90492
  29000 ,41687.5  ,116352
  30000 ,41128    ,131004
  31000 ,40869.6  ,147784
  32000 ,41169.1  ,122456
  33000 ,42298.9  ,128508
  34000 ,42648    ,126752
  35000 ,43222.5  ,108488
  36000 ,43368    ,117632
  37000 ,43149.4  ,128964
  38000 ,44636.5  ,117596
  39000 ,44414.9  ,133604
  40000 ,45372.4  ,133456
  41000 ,46801.3  ,134736
  42000 ,46065.6  ,129140
  43000 ,48103.6  ,139932
  44000 ,49232.6  ,148536
  45000 ,50331.2  ,141228
  46000 ,49472.8  ,152216
  47000 ,52757    ,134340
  48000 ,50583.9  ,138840
  49000 ,51359.9  ,148172
  50000 ,52912.3  ,152416
  51000 ,53219    ,141244
  52000 ,53738    ,149016
  53000 ,54984.2  ,141928
  54000 ,56281.4  ,148184
  55000 ,56674.8  ,137676
  56000 ,56503.9  ,150696
  57000 ,56526.8  ,141048
  58000 ,57587.3  ,142272
  59000 ,57321.4  ,161284
  60000 ,57145.3  ,155088
  61000 ,58823.1  ,156364
  62000 ,58319.7  ,143008
  63000 ,59899.3  ,144008
  64000 ,58044.5  ,169260
  65000 ,58938.2  ,162284
  66000 ,60909.1  ,156424
  67000 ,60210.1  ,150460
  68000 ,60406.4  ,148816
  69000 ,60988.8  ,157048
  70000 ,61996.3  ,161168
  71000 ,60998    ,152548
  72000 ,60313.2  ,150344
  73000 ,59775.3  ,148180
  74000 ,62488.8  ,152488
  75000 ,62467.2  ,168252
  76000 ,62853.8  ,164604
  77000 ,63991.7  ,165544
  78000 ,64535.9  ,165256
  79000 ,63756    ,153260
  80000 ,64658    ,164524
  81000 ,65820.9  ,160380
  82000 ,65260.3  ,157100
  83000 ,66038.3  ,167428
  84000 ,66296.7  ,160812
  85000 ,66637.3  ,166256
  86000 ,65223    ,167004
  87000 ,67385.4  ,166280
  88000 ,67900    ,168712
  89000 ,66573.3  ,167068
  90000 ,68414.9  ,176488
  91000 ,67130.2  ,166176
  92000 ,67052.2  ,167984
  93000 ,67928.2  ,165288
  94000 ,69854.9  ,167560
  95000 ,70384    ,168280
  96000 ,67169.5  ,169060
  97000 ,69011.9  ,173668
  98000 ,69043.5  ,165932
  99000 ,71024.2  ,166268
 100000 ,67425.3  ,165668
 101000 ,70510.1  ,168940
 102000 ,70415.8  ,172168
 103000 ,72667.8  ,169780
 104000 ,71808.2  ,166916
 105000 ,71445.1  ,175772
 106000 ,74397.5  ,241900
 107000 ,68245.7  ,175728
 108000 ,70835.5  ,171208
 109000 ,71798.9  ,166164
 110000 ,71303    ,177104
 111000 ,73024.7  ,173832
 112000 ,73642.8  ,171548
 113000 ,74735.3  ,171716
 114000 ,74639.9  ,166756
 115000 ,74597.9  ,178560
 116000 ,73497.1  ,165836
 117000 ,74365.4  ,168928
 118000 ,75713.2  ,175448
 119000 ,73520.7  ,174120
 120000 ,73872.8  ,170028
 121000 ,72578.9  ,173456
 122000 ,74101.8  ,174948
 123000 ,74610    ,174760
 124000 ,74077.3  ,174120
 125000 ,72263.4  ,173260
 126000 ,73764.2  ,174656
 127000 ,78045.8  ,173512
 128000 ,76781.9  ,170164
 129000 ,77693.7  ,174600
 130000 ,76935.2  ,172812
 131000 ,78553.3  ,173800
 132000 ,79416.8  ,177272
 133000 ,76481.8  ,169968
 134000 ,77722.6  ,173160
 135000 ,77960.1  ,174676
 136000 ,78631.7  ,176284
 137000 ,75507.9  ,171920
 138000 ,77441.5  ,174096
 139000 ,79176.9  ,175868
 140000 ,77857.7  ,176320
 141000 ,81391.1  ,238908
 142000 ,80384.4  ,175724
 143000 ,80018.8  ,173468
 144000 ,80258.6  ,175688
 145000 ,80474.6  ,176644
 146000 ,79279.4  ,173484
 147000 ,81218.6  ,175528
 148000 ,77742.7  ,175028
 149000 ,81290.5  ,175948
 150000 ,80543.6  ,176720
 151000 ,80889.4  ,175308
 152000 ,81430.4  ,173332
 153000 ,79897.9  ,175320
 154000 ,82216    ,176276
 155000 ,80282.1  ,175232
 156000 ,79337.7  ,175784
 157000 ,82167.6  ,175644
 158000 ,82288.4  ,175428
 159000 ,80926.5  ,176696
 160000 ,82751    ,176488
 161000 ,83068.4  ,176540
 162000 ,83385.3  ,176632
 163000 ,84688.9  ,175648
 164000 ,81923    ,175632
 165000 ,82206.8  ,175496
 166000 ,82111.2  ,181680
 167000 ,82985.9  ,173584
 168000 ,85914    ,176300
 169000 ,82723.8  ,176908
 170000 ,82800.4  ,177168
 171000 ,85616.7  ,177044
 172000 ,83255    ,177128
 173000 ,83698.3  ,173548
 174000 ,82491.6  ,176360
 175000 ,84234.1  ,175920
 176000 ,85006.1  ,173560
 177000 ,85453.2  ,177240
 178000 ,85049.1  ,175820
 179000 ,84816.7  ,177004
 180000 ,85975    ,175356
 181000 ,83784.9  ,169756
 182000 ,81909.2  ,173756
 183000 ,83864.6  ,168628
 184000 ,85495.4  ,176360
 185000 ,85055.3  ,177008
 186000 ,86536.1  ,174752
 187000 ,84753.1  ,173216
 188000 ,81599.3  ,171476
 189000 ,83964.2  ,171388
 190000 ,85368.7  ,176340
 191000 ,86274.7  ,175696
 192000 ,85592.1  ,176300
 193000 ,86321.8  ,176880
 194000 ,86404.3  ,174144
 195000 ,84340.8  ,175856
 196000 ,87799.6  ,174236
 197000 ,84701.1  ,176688
 198000 ,88861.6  ,178208
 199000 ,87790.9  ,175088
 200000 ,84785    ,169348
 201000 ,86244.1  ,175012
 202000 ,88284.8  ,176944
 203000 ,88183.3  ,246024
 204000 ,85994.4  ,176436
 205000 ,86085.6  ,226648
 206000 ,86901.9  ,176584
 207000 ,90208.5  ,176624
 208000 ,88100.8  ,175452
 209000 ,85536.1  ,173560
 210000 ,86219.3  ,174840
 211000 ,84253.4  ,177044
 212000 ,86472.2  ,168580
 213000 ,85750    ,176188
 214000 ,84461.6  ,167492
 215000 ,86729.5  ,240096
 216000 ,85986.9  ,246940
 217000 ,85294.8  ,175488
 218000 ,87121.6  ,176464
 219000 ,89887.5  ,174012
 220000 ,88469.4  ,175212
 221000 ,87089.1  ,175928
 222000 ,89441.8  ,175364
 223000 ,87791.4  ,177048
 224000 ,89872    ,173424
 225000 ,88351.1  ,177172
 226000 ,87445.2  ,177716
 227000 ,89241.8  ,175484
 228000 ,87595    ,176640
 229000 ,88040.1  ,177224
 230000 ,88929    ,175672
 231000 ,90906.2  ,176496
 232000 ,90266.4  ,177288
 233000 ,86684.5  ,177344
 234000 ,88461    ,171236
 235000 ,85778.3  ,175468
 236000 ,86887.2  ,174000
 237000 ,85910.2  ,177364
 238000 ,88625.5  ,175696
 239000 ,85572.7  ,176576
 240000 ,87623    ,175460
 241000 ,88350.9  ,177868
 242000 ,89314.6  ,171584
 243000 ,88148.6  ,172532
 244000 ,89059.1  ,172452
 245000 ,87466.8  ,174740
 246000 ,87342.9  ,171396
 247000 ,86448    ,176228
 248000 ,86363    ,175752
 249000 ,87126.1  ,173028
 250000 ,88849.9  ,176892
 251000 ,89703.6  ,177316
 252000 ,86454.6  ,174720
 253000 ,88354    ,176748
 254000 ,89115.1  ,175948
 255000 ,88305.3  ,175916
 256000 ,89072.5  ,177448
 257000 ,90160.6  ,175068
 258000 ,89419    ,172320
 259000 ,90647.8  ,176872
 260000 ,89869.3  ,176348
 261000 ,90214.5  ,176956
 262000 ,88880.4  ,171548
 263000 ,89369.3  ,177668
 264000 ,90500.5  ,172392
 265000 ,89929.8  ,176948
 266000 ,90171.8  ,176864
 267000 ,91664.2  ,172452
 268000 ,91849.5  ,172984
 269000 ,90841.7  ,171756
 270000 ,93442.8  ,172336
 271000 ,89777.7  ,226124
 272000 ,91121.1  ,174116
 273000 ,89234.6  ,177364
 274000 ,91271.6  ,176728
 275000 ,88402.2  ,175304
 276000 ,89499.5  ,172900
 277000 ,88181.1  ,175328
 278000 ,88312.9  ,171484
 279000 ,87342.4  ,175680
 280000 ,86969.6  ,171516
 281000 ,88685.9  ,173196
 282000 ,89951.2  ,173920
 283000 ,92497.8  ,173744
 284000 ,88346.1  ,177376
 285000 ,90776.3  ,174932
 286000 ,90864    ,176816
 287000 ,90730.9  ,173772
 288000 ,88648    ,172628
 289000 ,91459.2  ,172320
 290000 ,87235.3  ,176604
 291000 ,91067.6  ,174676
 292000 ,87832.4  ,176316
 293000 ,90271.8  ,175100
 294000 ,88760.3  ,175412
 295000 ,91293.5  ,174136
 296000 ,90717.3  ,175332
 297000 ,89853.1  ,176864
 298000 ,89937.6  ,174936
 299000 ,89092.2  ,174400
 300000 ,88113.6  ,175328
 301000 ,87709.1  ,173316
 302000 ,90705.1  ,173016
 303000 ,87809.3  ,172720
 304000 ,89942.2  ,175428
 305000 ,90215.2  ,177372
 306000 ,90145.9  ,175668
 307000 ,89567.4  ,172848
 308000 ,92199.2  ,175716
 309000 ,88259    ,176904
 310000 ,89977.8  ,172808
 311000 ,90973.7  ,175816
 312000 ,88641    ,173080
 313000 ,88513.5  ,171624
 314000 ,89128    ,172600
 315000 ,90434.3  ,178188
 316000 ,91300.7  ,174212
 317000 ,90112.8  ,175456
 318000 ,90382.4  ,175620
 319000 ,90629.3  ,178016
 320000 ,90812.7  ,176208
 321000 ,91910.4  ,175296
 322000 ,89747.4  ,176332
 323000 ,87428.8  ,175196
 324000 ,91191.1  ,177144
 325000 ,95308    ,175668
 326000 ,93897.1  ,175460
 327000 ,91385.8  ,175792
 328000 ,91956.7  ,177348
 329000 ,91540.2  ,175548
 330000 ,90798.4  ,176476
 331000 ,89956.1  ,177024
 332000 ,91124.5  ,172612
 333000 ,89172.8  ,171972
 334000 ,89546.9  ,176000
 335000 ,91195    ,176348
 336000 ,90078.9  ,173224
 337000 ,90205.3  ,177260
 338000 ,91459    ,246112
 339000 ,91780.8  ,173180
 340000 ,92218    ,174872
 341000 ,92157.3  ,173516
 342000 ,92346.6  ,176456
 343000 ,92831.6  ,177148
 344000 ,94429.1  ,172780
 345000 ,90160.8  ,171592
 346000 ,92529.8  ,261028
 347000 ,90629.1  ,242328
 348000 ,91277.8  ,175064
 349000 ,89079.1  ,236688
 350000 ,88992.6  ,226732
 351000 ,89259    ,174232
 352000 ,92874.5  ,174144
 353000 ,92005.7  ,242196
 354000 ,93874.2  ,173272
 355000 ,92775.7  ,176144
 356000 ,89951.8  ,176208
 357000 ,91588    ,177392
 358000 ,94329.8  ,202920
 359000 ,90840.3  ,177168
 360000 ,92375    ,175100
 361000 ,92680.4  ,172896
 362000 ,89944.9  ,163604
 363000 ,90231.6  ,175668
 364000 ,90306.1  ,174848
 365000 ,87576.7  ,233516
 366000 ,91901.6  ,172496
 367000 ,88836.1  ,175108
 368000 ,90314.3  ,172952
 369000 ,90868.7  ,178104
 370000 ,90938.9  ,176528
 371000 ,93805.2  ,176324
 372000 ,89963.4  ,175636
 373000 ,92179.3  ,172296
